category,clean_text
2, any plans to start flying direct from DAL to LAS?
2, BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
2, Grand Budapest Hotel #OscarsCountdown
2, This is what you missed @NewsVP. Next trip to the 407.
2, shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
2, Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
2, way to take advantage of #MayweatherPacquiao :)
2, you know I'm flying virgin for the fight #MayweatherPacquiao
2, shares up on 4Q results - @iol http://t.co/XZ6qeG3nef
2,👍👍✈️✈️💗 When are you guys going to start flying to Paris? : @LizaUtter You're welcome.”
2, what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.
2, I think i left something on the plane yesterday. who do i call...ah!
2, I need you to follow back in order to DM.
2, Need to start flying to @KCIAirport .  😊😀😃😄
2, they told to check with the airline regulation first so that is why I contacted you.
2, what is your policy on flying after surgery?
2, posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
2, Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I
2," I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application."
2, achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq
2," gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ"
2, weather delays &gt; next few weeks ;) #JFK #BOS #DCA
2, @madbee95 check the website before you go to the airport!
2, pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8
2, is saving my sanity right now: http://t.co/ELtBOLjUl9
2, missed my flight. How does standby work?
2, brought it all the way across the country today I see http://t.co/TKaUyGcPmS
2, are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘
2, can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund
2, may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel
2, add DTW and I'm sold!
2, momma I made it! 😁😁😁
2, please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.
2, help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!
2, @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair
2, Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks
2," Many Thanks for the Follow. #ourprincess #freyasfund #USA #Bandie  Looking for Any Help😍 💗🇬🇧💗🇺🇸💗 🎀🌏🎀 http://t.co/UJfS9Zi6kd"
2," Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd"
2, is my new go to airline
2," @VirginAtlantic @GMA   Can You Help #ourprincess in need of some help in #USA 🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer"
2, Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica
2, to jump into the #Dallas #Austin market http://t.co/SzR0pioA21
2,.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo
2, partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa
2, i would like help with some flights please.
2,Bruh “: @giannilee Turn down for what. #VXSafetyDance”
2, Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!
2," Done, but I need the receipt ASAP. Could you please help? #150219-000114"
2," Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/SfjDuahx9Z by @skift"
2," I just did, how can I DM? Do u have to also add me?"
2," Anytime, sugafly."
2, I need a receipt for a flight change. Can you send one?
2," CEO says #Southwest &amp; #jetblue have strayed from low cost model.http://t.co/96Sctomh29"
2, a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6
2, Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE
2, Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE
2, Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE
2, when are you flying to hawaii
2,. If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…
2," announced New Route to Austin w/fares from $39/way. http://t.co/gA8pbamu0C"
2, Really? Sprint? I thought you guys were 'kewl'! 0_0
2, you should have 39 dollar LAX-Las fares!!!
2, You should still develop an app - then you will be my favorite airline.
2, no A's channel this year?
2, Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?
2, is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A
2," announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf"
2, adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC
2," - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?"
2," Now, when will we see VirginAmerica come to Philadelphia (PHL)."
2, to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek
2, Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!
2," to battle  on @DallasLoveField-@AUStinAirport route http://t.co/6RLz0EBk2X via @usatoday"
2, I miss the #nerdbird in San Jose
2, can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?
2, please add more frequency to PDX Portland
2,  can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan_Fund 💗 🎀 💗
2, does Virgin America fly direct from Seattle to NYC or Boston?
2, save some for 871 tomorrow AM!
2, @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c
2, is that #thestarter??😁
2, ...Please come to Minneapolis St. Paul!
2, YES FYI  MY BFF
2, do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3
2, Good point!
2,. I heard he has a virgin mobile hotspot ;)
2, you got cheese pLate Flights too.
2, On all your flights?
2, how come ABC is the only one of the network channels you don't have?
2," Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!"
2, should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs
2, Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?
2, Can you give me Silver Status for 12 months?
2, Are there any sign up bonuses to enroll in Elevate?
2, morning. If I have a question regarding elevate points &amp; flights can I DM you?
2, still waiting to see  @Starryeyes_Dev_  😞
2, was wondering if you guys recieved my dm and we're able to potentially respond asap
2,“: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro
2, even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?
2," I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price."
2, flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta
2, why not? Is it a law or a policy?
2," no I don't, but I'm sure United have my info on its system."
2, Just submitted my response on the link you sent.
2," yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519"
2," yes, a paper voucher that I got on January 26th 2015"
2," Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?"
2, and what am I suppose to do with that number?
2, I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.
2, @CheerTymeDad Gee that's like almost caring about ppl more than $$.  Think I'm more int in having a trusted adult w/ daughter .
2, that's right- with an overnight Miami.
2, Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?
2," I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations"
2, i DMed you the details
2," Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve."
2, thanks again for your concern. I will contact customer care upon our return from Australia.
2, 6533 ORD to DCA
2," Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!"
2, your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?
2, the os isn't controlled by me but rather @VerizonWireless .  App is new.
2, It was last night's 1235/ORD-LGA.
2, thank you !
2, dm these nuts
2, thanks for the info I already knew...
2, Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!
2, Thank you.
2, is there an email address I can reach? Too long for a DM.
2, So do I need to book two one ways in order for her to fly as an unaccompanied minor?
2, Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5
2," bet you wont honour them, like mine ey"
2," I guess that's too much ask, huh?"
2, please be good to me this weekend!
2, A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0
2, yall should probably work on that.
2, yes please! Trying to get to POP- in Newark now....
2, I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏
2, can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?
2, DM does not work what do I do?
2, how about 3659 YUL-ORD?
2, Done and done
2,.Thnx for the response  bot. It seems this 'improvement' could be easily attained. Is your 1st Class service really only worth $50?
2," booked award tix on ThaiAirways but I'm not seeing a conf# for them, just the United Flight Booking Problems#. Can you get get the Thai# for me?"
2, is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather
2, so if I'm flying 1st class just one leg to Chicago but not on my long flight to China am I still able to use the lounge in Chicago
2, Okay thank you
2, I've filed the claim but have no way of calling for updates. Is there another way to do this?
2, Any luck with finalizing my reservation? I DM'd information to you. Please let me know what else you need. Want to confirm ASAP. Thx
2, keep me updated. Let me know that the bags make the flight to j-burg
2, I would like to know what's going on before his current flight lands.
2, This is NOT a local UNITED number for Malaysia   0011 800-55558000. What is your local United Airlines here in Kuala Lumpur ( KUL )?
2," I send you an urgent message via eservice.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL"
2, thanks! Will you guys be getting the A380s anytime soon?
2, I sent in my feedback.  Thank you.
2, yes I do.
2, Deep Vein thrombosis
2, unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight
2, what time does check in open for flight no UA80 from Manchester to Newark today ?
2, DM sent
2," Follow me back, please, and I'll happily DM you the link because I'd rather not share my travel plans publicly."
2, @luke_mcintosh68 nah you wouldn't
2, Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?
2, I sent the message. Let me know ASAP.
2," i understand, thanks"
2," My post was just more of disappointment.  I'm a frequent United flyer, it was a simple ??.  1 bad apple doesn't spoil the bunch."
2, Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.
2," question:are there onboad 110 volt outlets in all planes? If so, where?"
2, Twitter isn't letting me DM you..
2, I hope so too
2, an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.
2, where is my flight voucher?
2," rebooting Chicago dispatch system, need @pivotalcf as I'm tired of sitting on planes"
2, the aircraft closest to gate was for the other flight and the one closest to our gate was going to Chicago.
2, My mom left her Kindle on flight 1544 today. Burgundy case with a light. Seat 27D. Did anyone find it?
2,Decisions Decisions @MandarinJourney :  We'd love for you to try our service. We offer status match too. http://t.co/xbQqqbRgVF ^KP”
2,Need more info on that! : @momsgoodeats We have great amenity kits. PJ's not included. We status match AA. ^KP”
2, Do you have any flights with lie flat seating from STL to PDX around the date of March 5?
2," @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?"
2, like continental's chicken feat fairs
2, can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?
2," to be clear on my luggage comment, I am referencing the photo attached. Flight 6232 to JAC http://t.co/PnBajfkmHG"
2, Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.
2, how is Mexico not international from the us?
2,Just sent thank u RT : @goodenufmother Please DM your confirmation number if reFlight Booking Problems is needed. Thank you. ^EY
2, so what’s the deal? Do u provide voucher for overnight or am I cozy on the floor at #OHare ? #gross #HelpMePlease #AnyoneThere
2, please upload the March on-demand entertainment listing on your website! ✈️
2," did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now"
2, what's a girl gotta do to get a flight name change when SHE bought one for a mean ex boyfriend and needs a girl's trip stat?!
2, thank you. We are signed up for notifications. We shall watch and wait! ❄️❄️
2, I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.
2, I have a 0530 flight out of DFW on Tuesday. How far in advance will you give notice if Cancelled Flightled?
2, When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.
2," yes, after this awful weather it appears I can get home"
2, the person is currently bettween gates 71A and 73 in LAX
2, thank you for the quick response but I cannot dm you until you follow me as well
2," I need the phone number to baggage claim in LAX, my mom left her phone and someone called saying they would put it there but on"
2," will not have to honor absurdly low mistake fares.http://t.co/2Z3Jv73IlW vía @usatoday"
2," thanks! It's 35K miles from RTB to Europe, to do a multiple destination so we could stop over in US on way/way back- mileage diff?"
2, done
2," Thank you, ^JH, appreciate the prompt responses--me and other passengers will be doing so."
2," hi guys, do you have a general enquires email address please? Thanks David."
2," I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?"
2,. For those playing along at home: http://t.co/2b4bDTldX2
2,Thanks . @imran_r44 had a question about the wait time for baggage on UA6366
2," 8602947, jon at http://t.co/58tuTgli0D, thanks."
2,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? 
2,But I don't see AA 
2, Did you find out where it is? Thanks
2, I can't DM you so here's the confirmation # G8CVWJ - please is there any way I can make it to Kailua tonight? Thank you
2, Definitely will!
2, what gate is ua5396 leaving from?
2, fails again.  saves the day.
2,. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?
2," Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?"
2," States faundation was by faith Judeo Cristian,@Not it was by ideologias.@ http://t.co/mWBk68k0A3"
2, are you able to see if there are seats open on another flight??
2, @retailbagholder hahaha. At least they gave u a refund.
2, BUT you have received confirmation via email that you are confirmed and ticketed on this flight.
2," After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation.."
2, #UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours?
2, follow back and I'll give you the details.
2," @scotthroth scott, need a good book suggestion?"
2, please see dm!!
2, 4 people MCI to DEL. Preferably with Jet Airways EWR-BRU-DEL segment. Anytime in December
2, at the gate! IAD to RDU
2, to operated #B767-300ER from #Newark to #Zurich @ZRH_airport replacing B767-400ER between 6MAY-23SEP instead till 23OCT #avgeek
2, Hi! what is the phone number for reservations in Venezuela? Thanks
2, can I request a ticket change through twitter ?
2, to start daily #B777-200ER flights from #Newark to #Milan #Malpensa replacing #B767-400ER on 7APR instead 28MAR #avgeek
2, to start daily #B777-200ER flights from #Newark to #Frankfurt @airport_fra replacing #B767-400ER on 2JUL #avgeek
2, Thank you for your response!
2, Left item n the seatback on UA1260. Is there any way to call DCA to ask if they have the item? Already submitted lost &amp; found report
2, I DM'd child's birthdate and full name.
2, Lisa J is amazing the guy not so much.
2, two years old.  Birthdate 11/13/2012
2, I already did.
2, what would it cost
2, I've got a campus visit in an hour and I'm still wearing the same clothes...
2, Adopting 2 yr old child from Ethiopia. Flying from ADD to GRR on 2/28.  Need to add child to reservation and get costs.  Help!  Thx
2," good morning, any first class upgrades available for ua1619 Feb 25  rsw to ewr? I need 4 seats please"
2, DM sent as requested. Make sure you follow back so you can DM me back. Thanks
2, please help http://t.co/t5mRj5Yw6I
2, WHy is my KTN not showing on my boarding?  Why is TSA pre-check not applying to my boarding pass?
2, sitting in the middle for the first time .. Hope it works out well
2, and learn how to book flights. http://t.co/MHHS9RUpLv
2, Thanks. Got it straightend out last night.
2, any chance flight 3745 is being delayed??  nervous about driving to DFW in this weather to drop off my brother
2, Will definitely do so. Sending a DM now.
2, - Group 2 line gets longer every week. Almost no one left for Groups 3-5 anymore. Time to make Explorer Card Group 3?
2, hi --  was. Thank you!
2, Any news about the departure of the flight UA51?
2, someone should send a note to the revenue management team and ask about all the open BF and GF seats on 919.
2," basically, I need to leave from Hawaii Late Flight evening (midnight) and get back to Philly Late Flight Monday night. Most trips get me in Tues"
2, yes please. Going to drive the 6 hours.
2, the child is two years old
2, followed you and DM'd you
2,  @DENAirport United 787 in snowy Denver. http://t.co/w1AaKJumXA
2, can you help me add my KTN to this reservation PLZ?
2, whats UA 1205 lax - newark ??
2, you'll be hearing from me for sure.
2, In Ethiopia adopting a child.  Need flight home from ADD to GRR Late Flight 2/27 or very early 2/28. (need to change existing reservation)
2," UA flight 1247. SFO to LAX took my carry on at gate. I'm Group 2, overhead bins are empty"
2, I just booked a flight for (2). When I view my reservation it has MI connected to First name. Is this a problem? can it be changed?
2, How do I get through @TSA to finally board UA 1534?
2, @reccewife with the exception of everything you've asked for. Heh
2, UA1469. Just landed.
2, flight 435
2, She is travelling from Melbourne (Australia ) to Bogota (Colombia) tomorrow
2, Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you
2, Why have airlines always told us they can't open a cabin door once it has been closed?  This plane has done it 3 times tonight.
2, Can you tell me Jet Airways award availability?
2, What are the chances of my flight to EWR from PIT being Cancelled Flighted tomorrow?
2, @baftz rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need
2, on a flight at 11:30 tomorrow.
2, booked EWR-FLL in first for two on 3-8. Let's see how you compare to the garbage  first class has become
2, Educate Bohol is a 501(c)(3) w/all volunteer staff. I can help the kids or buy a plane ticket ...I can't do both. Can you help?
2," I need to get from Albuquerque, NM, USA, to Cebu, Philippines. I'm providing educational help for 800 kids. Can you help me?"
2, on the plane. I was thoughtful enough to ask for it and got it; there are prob others that also deserved it
2, S/O to @Delta for coming in clutch and finally taking me home 🙌🙌
2, left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!
2, Didn't know that buying a seat in first class was just a 'request' to sit in first class! Very Interesting.
2," can I get on a stand by list from ASE to ORD? I'm the only poor person in Aspen, that's why I'm asking for standby on twitter."
2, is it possible to add a Known Traveler Number to my ticket after Flight Booking Problems?
2, If an award is no longer showing available could it possible become available again?
2, flight to DFW from IAD Cancelled Flightled for mechanical can I get rental car to MDT-my origin
2, can you help me get from IAH to SFO earlier tonight?
2, I did. they told us the wrong carousel number.
2, no thanks
2, #LAX #sunrise UAL212 LAX-JFK
2, ...would be on the next flight to Hayden/steamboat
2," Good evening, UA. Can you assist with an issue via DM?"
2,"“: @rikrik__ What made you come to this? Can we help you with anything? ^JP” free tickets , for the i convince ."
2," @jeffsmisek @RobertFor39 @Fioretti2ndWard @garcia4chicago  FAA invest near miss on O'Hare runway last wk:http://t.co/jVJ73ZZa4A"
2, I am UA elite Gold and have a UA Chase pres. plus credit card.  How many EQM's do I need to get Platinum Elite!
2," when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?"
2, I'll let you know week after next when I do another coast-coast RT again.
2, 4 open seats in 1st class on UA 2065. Way to honor your upgrade policy for freq flyers and/or honor an employee with an upgrade.
2, you friend's flt from ase to Denver is Cancelled Flightled for tomorrow.  Can you help with rebook?
2, used to (still do?) let you listen to flight radio...I often did...interesting to me #TCMParty #CE3K #31DaysOfOscar
2, AND WE GOT ZERO VOUCHERS FOR HOTEL OR CAB. I expect some SERIOUS mileage credits.
2, +the plane.
2, I do not see where it talks about military baggage fees. Can you please guide me. Thanks
2, I'll be calling tomorrow
2,...do you still have flat tire policy.  Shuttle broke down on way to ORD.  Will probably miss the 425pm to CLE...Help please!!
2," Okay, just requested to follow."
2, make sure you take care of @LSUsoftball team &amp; @LSUQuinlanDuhon team. We are 16-0!!!!
2, there is a sector whereby it says $0 in both bags...no bag allowance at all in international flight?
2, Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.
2, in fact he received my boarding pass
2, @Lmuschel he is traveling with me on a sep reservation number F3KxB8
2, You must follow me in order for me to send you a direct message if that is what you meant.
2, I don't know what DM the confirmation number means.
2, What does DM the confirmation @ mean???
2, no thank you
2, Name correct on original confirmation but spelled wrong on check-in reminder. First name and MI run together. Cause for concern?
2," welcome to our world, that's a snow world today. @GooseBayAirport Goose Bay, Labrador, Canada. http://t.co/4kI6Xr67nk"
2, tried that. Cannot figure out where to go to get it.
2, Did you get your 757 Model?
2," why not charge for 2nd carryon instead of checked bag? Less jockeying for overhead space, happier passengers, more ontime departures"
2, doesn't purchasing ticket with a united card give me priority boarding ?
2, what's the status of flight 1008 Bogotá-Houston?
2, Is a snowboard boot bag included in the standard checked baggage next to the snowboard bag?
2," getting ready to book a flight to San Juan. Was wondering, Does United waive baggage fees for military personnel. Thanks."
2, pls follow for DM
2," ah, that would explain why crew didn't seem particularly distressed when we pointed it out. It was a little startling at first."
2, can you assign seats
2, just added one. Ty
2,.  Pls hold UA2066 for 9 cnx pax frm UA6194.  All runners.  A 5 min hold will save 2 fam frm miscnx.  Pls. Twitter is watching.
2, pls follow for DM.
2," It was 3387. But we helped you with the weight issue, took your vouchers, and hopped on a @Delta flight instead. #winwin"
2, can you put Russell Daiber (on same ticket) as well into premium Eco? Appreciated!
2, can you get me to okc from Sacramento today. Dfw is now closed
2," Out of curiosity, when a flight is arranged, are pilots notified? There are a lot of ""pilots haven't arrived yet"" announcements."
2, Yes. To Boston. I was going to Providence.
2, how are conditions in BOS today? I'm in UA994. Everything appears to be in time but I wanted to check.
2, same day flights
2, I6EP18
2, DM'ed you
2, why de-ice before taxing? Maybe it #makestoomuchsense ? #shouldhaveflowndelta #unitedsucks @Delta  
2, Flight 1547 CMH to ORD just arrived at gate. Next segment to YVR already boarding. Will they hold it?
2, with about 25 people trying to get on flights
2, can you change DKYDE6 to 4583&gt;36 on 2/23 instead of 3636&gt;606&gt;36; original reservation was for 4404&gt;36 yesterday but was Cancelled Flightled.
2, question. Are departure times based off eastern central time or the time zone your actually in?
2," Was on NH10 on United ticket, rerouted to IAD due to weather in JFK. Can you get us home on United 5713 or 3277?"
2, we need a new flight to Tucson
2, sister &amp; BIL stuck in Detroit desperately need to be in Florida flying w/  is there anything you can do?
2, I just sent to you.
2," Do you have plans for an iPad app?  The iPhone app is great, but on the  iPad you have to flip the iPad.  Is there a beta? Tks."
2," I tried.   We were hung up on, twice. After speaking with someone, then put on hold for 45 minutes.  No resolution."
