,category,clean_text
29,1,Found n got it for 10 bucks  gonna wear it forever
30,1,"Gaudio is back to final, long live the cat "
31,1,Hooray! It's Monday! Start of a new week. I love Mondays 
32,1,i think my foot is finally back to the point where i can go for a good morning walk today. And it's a nice overcast day... 
33,1,Duuuuuude! My brother's here 
34,1,Happy Mother's Day  #mothersday
35,1,@jkreeftmeijer Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me
36,1,Is thrilled to welcome @buschpetproduct to the Wiggle Wag reseller family!   
37,1,...only cause I had a WAY awesomer big sister.  She's still way awesome.
38,1,@chinkeykeekai Ummm ... have you looked on your head? 
39,1,Birminghams music scene getting a well deserved boost during June  ... please follow @brummusicmonth ... 
40,1,"You guys are too awesome, @gomeztheband. Come to Manila? Please?   ? http://blip.fm/~6iw03"
41,1,"That I am a sandwich short of a picnic, in fact I know they will! Hope everyone has a lovely day "
42,1,Don't you LOVE the feeling of sitting and relaxing in a beautiful yard?! I got to relax and enjoy my hard work today. 
43,1,wow the stuff you can find on youtube  ....and the stuff you can't 
44,1,In university...  pre 10am!
45,1,@bingthecherry hope flesh is home and feeling better.  night night
46,1,@TeganMichelle Do you get My Name Is Earl on TV here? Funniest show on TV 
47,1,well all time me for me to get ready for work - have a good one!!!!  and yes macs rule 
48,1,ended a bad day on a good note... 
49,1,making birthday plans not long now yaay  Finally &amp; not leeting you get away with it that easily this time so carry on  douche
50,1,"@ddlovato hope your days better than mine, it's 2:30pm and I'm bored and falling asleep. I'll put your music on, that'll cheer/wake me up "
51,1,G'Morning! Went to bed in a good Mood  ! I think I've met my Match..
52,1,@cascandar @Crash616 THANK YOU! 
53,1,finally replied to Tin's e-mail.. feeling very fulfilled 
54,1,http://tinyurl.com/d49u5q &lt; THE MOST AMAZING collab that I happen to be in. 
55,1,"Heh, my wife made it almost all the way through that last Onion video without realizing it was a parody.  http://ping.fm/jZht5   "
56,1,@felicityfuller You see this is why I shouldn't tweet without caffiene!!!   XX
57,1,Is watching the final Underbelly 
58,1,@sherieriot ooo i seee ... &quot;anything i want&quot; means i can type in here 140 characters  ....
59,1,sorting pictures with Mina for the next captiveculture update. another suspension for that lovely french girl 
60,1,@JonathanRKnight Hello there Jonathan! I didn't know you tweet.  Have a good nite
61,1,"@lanceschmidt Yeah I was kinda bummed, but tell them I'm gonna miss them too! I loved your class! You guys made student teaching fun. "
62,1,@kaseyRSM could you do chargrilled stuffed squid?? 
63,1,Off to work! Have a lot to do this morning - and in case I decide to take 2 days off toworrow and wednesday.... I'll have even more work 
64,1,just got in from getting scared the fuck out of  but its all good
65,1,"@xwatkins Yes, yes and triple YES "
66,1,Reflecting on the coaching I've offered today to those recently laid off. Inspiring and fulfilling. v. happy. 
67,1,@BB517 @BJoie Oh man we gotta find a new place 
68,1,@RaraACTIVE really?! send me the link!!  x
69,1,@Atchoum1979 hey thanks! 
70,1,prefers cedric diggory to edward cullen &amp; can't wait for the 6th HP movie!! 
71,1,with amy!! onnnnn 
72,1,@KelEye well that suxx!! i luv it n they always over cook my meat cus i like it w o ne kind of red in it!!! 
73,1,@Scottish_Medium  Thank you...  
74,1,Night Twitter peoples.  Was fun   Time to call it a day.
75,1,Getting ready to watch the game on a 72inch! 
76,1,@resymbol will do... 
77,1,@AmbDuckett should be me 
78,1,Good karma to you !   (via #zenjar )
79,1,"@JeepDawg hahah  well maybe not, but it is still very early."
80,1,@AnnCurry The photos are AMAZING! What a GREAT subject &amp; way to get people educated about Darfur! HUGS! U are an inspiring woman! 
81,1,"@rockstarbunny if its any consolation, I'll think of ya as I buzz peds, and split lanes through the city tomorrow "
82,1,JUST WOKE UP! it effing worked! went to sleep at 12something and only woke up once during the night. it's a miracle  i can sleep! rad.
83,1,"Life is short.  Live every day to the fullest, show your emotions and express your feelings because you really just never know.  "
84,1,you know what the coolest thing about what I am doing right now job wise? I love it! 
85,1,"@Shibaguyz more like a gardening addict, but I appreciate the kinder name "
86,1,Fuck yeah.  http://twitter.com/chuckpalahniuk/status/1818215568
87,1,@misbookwormette   Hope you are having an amazing day...
88,1,"Fro-Yo with mom, dad, and brother "
89,1,morning tweeps  hope you are all aven a good start to the week i'm just chilling at home working night shift this week again
90,1,Happy Mother's Day 
91,1,@Spitphyre hehe .. some marketing genius shud get a sponsorship for #yayman and #yobabe to go out for Coffee date 
92,1,"Had a Great weekend!! and is in such a good mood, she doesn't even mind being at work this morning! "
93,1,"@rachelannajones both, but mostly S "
94,1,hey girlys who are headed to prom post you prom pictures! i want to see them. 
95,1,@AstronautOne  There's no such thing as carb overload. Also? Not still morning. 
96,1,is reading Laplace's convolution theory and get convoluted 
97,1,@Xtinlim come join us for tea later this afternoon!! 
98,1,The desk is on it's home stretch! Woooo!!! 
99,1,I slept super good. Tim time today and stew time! Idk what to do with myself!!! 
100,1,"@SimplyStar nice, thanks for the reminder. "
101,1,"@unictteam09 go and rock! We will be following IANO from here, tweet frequently! "
102,1,@djbriancua still? You should really rest! As in bed (not the bar) rest for a few days! 
103,1,Star trek was SOOOOO AWESOME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Spock and Kirk were hillarious!!!  Im seeing it again. sooon.
104,1,@wptavern that's so cool 
105,1,"Hello awesome tweetmates, we kinda need your help. "
106,1,Nothing beats the 1st smoke of the day. Yep a small session in the afternoon and everything becomes much more interesting 
107,1,@nicolerichie there's nothing better than an AWESOME hairdresser!! we r so far and few between!! we care about u &amp; ur hair!! hehehe!! 
108,1,"@foghorn_clj Blake's so CUTE!!!! Such big eyes! Looking at a face like that, I just want to have a light pinch! "
109,1,the belmar is awesome! 
110,1,: Eating Mexican food.  Olive Garden tomorrow.
111,1,@StDAY You definitely need to watch this week. It's the wedding episode.  
112,1,"Just my thoughts, you are an inspiration to me thro' your perfect angelic soul, i am glad you finally found the love you so deserve "
113,1,@Ianto_Jones be afraid dude... and back away from the tweets slowly... 
114,1,"@jclont yes, we have been discussing the topic privately "
115,1,@xmarycatherinex I miss yo ass 
116,1,@roobyRIOT bill and ben are too cool to be my friend. i have the teletubbies though 
117,1,"@OhMyEffinGen So, you taking college in the states? "
118,1,One of those songs that make you realise how good things are  ? http://blip.fm/~69176
119,1,@chriscornell any chance at getting to see this?  I can be there within an hour 
120,1,being able to meet George Sampson will be amazing!! even if im not mean to i will LOL girls hav got past the security before hehehehe  x
121,1,"@4everBrandy Morning Brandy  I love your music! I'm fine, how are you??"
122,1,"@johncmayer The Pleasuremaster General&quot;, You are a gem.  Rotflmao"
123,1,Yawn...Buy one get one free rants  come see me
124,1,@Stephenie_Meyer  Congrats to you Steph for reach'g your dream! Please continue to bring good reads to the world 
125,1,@DiiLee a porsha key chain 
126,1,just wanted to let u know that ur an amazing person and u have many fans around the world who love the work u do ... Good luck this week 
127,1,"@TheLooseCannon Peace Bro, so far so good today - how are you? "
128,1,Headed out for a morning of golf... Should be a great day as we have sun in Seattle 
129,1,@mrsjimboot welcome to twitter 
130,1,"@luuloo and look for the bright side  u dun work 8 hrs straight, gurls there leave at 1:30 or 1:45 and i dun think there's lotsa work"
131,1,"@s_constantine thx for the link. We have our own, if you haven't seen those "
132,1,@DimiDyke Lady GaGa's the BEST! 
133,1,@RacquelARose if you like 2 laugh..have a good time..follow me..its just that simple 
134,1,waiting for a video to download an than im off to sleep! 
135,1,"@dannygokey Yeah, who's your duet? "
136,1,@djscratch kisses on your twitters? that was titillating. haha 
137,1,"@electromarkie Thanks!  But I'm telling you, it's quite boring at the publishing. Not much to do (which is great at the same time). Haha!"
138,1,@lilyroseallen happy birthday to you lily.. Wish you all the best  xoxo
139,1,I love my coffee. 
140,1,"@PlumpPeaches Have a great night...and thank you again, I so appreciate it "
141,1,@LegendaryWriter get an iPhone tweet from where ever and when ever u like 
142,1,my cousin just danced! whooo go morgan  She did amazing
143,1,Can't wait till monday! Going to The Hannah Montana Movie! With my loves &lt;3 And I get the house to myself! Get to see Daylen! 
144,1,Buying a digital camera off of ebay so I can finally take good picts and document my life. 
145,1,With Shaleese  love her!
146,1,@Quizman15 thanks joeman! 
147,1,I love my bedroom  im going to miss it when i go back to the chi...
148,1,@LifeofDreams   I'm so stoked to hear about it !
149,1,@xMrsefron so whats up? 
150,1,"trust me, it works "
151,1,@Klutz315 i've already put one on my facebook  and please share more!!
152,1,"@JoeyMcIntyre http://twitpic.com/4ihfa - OMG!!! Joey.Why so serious...Smile, live and think not in morning "
153,1,@erinoutrageous i think i have the download link somewhere  lemme check
154,1,working on my race calendar- then church and family time 
155,1,Fixing to go to bed. Goodnight 
156,1,@philipwang asian americans are coming up in the world. 
157,1,@davelakhani Did you get to meet Ace Frehley?  Love his guitar playing.  Not sure how coherent a speaker he might/might not be.  
158,1,Watching Milk. I'm off work tomorrow 
159,1,@rahsheen That Domino's ad reminds me of &quot;Mad&quot; magazine tho. &quot;What Me Worry?&quot; Brings back good memories hehe 
160,1,"The maine, awesome! "
161,1,off to work 
162,1,is staying up all night watching FRIENDS. Wow 
163,1,ah! JONAS opening credits. wow 
164,1,Goodnight 
165,1,@meday  right back atchya!! Hope you're having a great day.
166,1,Uploading pics to crewspace... 
167,1,i officially hate my sister 
168,1,@OliviaBondoc hehe it'll surprise u fo sho! 
169,1,@CarriBugbee you have a bright future as a software QA if this social media thing doesn't work out for you 
170,1,Good morning 
171,1,@AllanCavanagh ah the good ol' North American Marlon Brando Lookalike Association. That works quite well actually 
172,1,Home from Disney...best time in a long time...howl at the moon tonight for GBA and then BHB Tuesday  oh drummer boy  niiight
173,1,@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN 
174,1,my intentions were to be an honest person. it ain't gonna kick my ass 
175,1,@PhilippaJane  you might as well ask the writer to write a whole new chapter
176,1,finally weekend !! a little holiday from school 
177,1,@MilesForrest If you get 2 spare hours to drive south you can hang out with me 
178,1,@woollyholic I'm not drinking at the mo.  One sniff of alcohol sends me all squiffy 
179,1,Going to the Grove.. movies with Holly 
180,1,@gelli_ace My jaw dropped at that. Are you serious???? In the finale? YAY! How'd you know? So thrilled! How bout Archie? 
181,1,Getting excited for the move to Idaho... looks like there are some great amateur astronomy clubs and belly dance groups in the area. 
182,1,@BrokenIntntionZ LMFAO I said pea green pants! xD I saw a picture of someone in pants like that and was terrified. 
183,1,THANKS ABBIE. Made a tutorial cause Abbie chose the colors  Uploading soon
184,1,"@Lil_Julie my pet gojira made it to lvl 3, hehe "
185,1,@sprightlyj 
186,1,Off to the big smoke tonight after work. Dolls and costumes packed for Expo 
187,1,Has framed the two pictures below 
188,1,Okay it's my bedtime..I got 1st Date Sex on by @SongzYuuup on repeat (wish it was a longer song tho!) &amp; i'm off 2 LALA Land 
189,1,"@aaronbordin i can't believe i didn't read your twitter and ate bakers delight. ahh fatty, but i'll start now..  ps your running."
190,1,Gonna read a story bout adam lambert online then bed. Nighty night 
191,1,@sarahdally true true  gossip girl it is then
192,1,@renee_66  haha gorn  your funny .. ive been voting for sway sway all arvo haha ...    #andyclemmensen #andyclemmensen #andyclemmensen
193,1,Gershwin's Rhapsody In Blue and a nice cup of coffee to start the morning  Hoorah!
194,1,@MandyyJirouxx  Say Hello  lol x
195,1,@Celticgirl1913 and you have to fail an ethics test before they'll hire you. 
196,1,@Apecicle  Hi. Feel free to send us pics of your dogs. Email photos@doggieaficionado.com.
197,1,@HeatherABC Any bfs fan/friend is a friend I need to have.  
198,1,Im off for a bit...tweeet yall later 
199,1,@ParellaLewis thanks for taking the time to reply to me 
200,1,Im in bed nice and cozy good nighters! p.s. bobby!!! i agree crocs are wack.  Rinacee
201,1,"@pluckypea corn = veggie, which MUST = nutritious!  (I can justify just about anything, LOL)"
202,1,@jediprincess77 I could never be mean to the only fellow singer SW fan I know! 
203,1,@Wolfensteijn Glad to be of service 
204,1,Weatherproofing the hiking gear - because hoping for sunny weather doesn't keep you dry. 
205,1,Loves drinking 3/4 of a fifth of crown.     yay!
206,1,"I emailed them back saying I wasn't interested in their project, she got mad because I didn't say 'Thank You'.  Seriously F to the U. "
207,1,@mrgarbutt you're gonna love it  #greenday
208,1,@ImInLoveWithMJ im good i had great time hang out with my 2 girl friends last night.  thank you how are you? are you at work?
209,1,HAPPY MOTHER'S DAY to all Moms - Give your Mom a call or a hug today!!!  
210,1,Is celebrating Greek Easter with thesecond family 
211,1,@DavidArchie LOL. Does David Cook have any twitter? I'd love to follow him.  Are you gonn` be on Wednesday's finale?
212,1,@witenike Let me see what I can do to hook up my some of my Blackhawks peoples not in Chi-town. 
213,1,"Going to watch Katie and peter stateside, family guy and last weeks american idol again "
214,1,waiting to be picked up. We're off to aston this morning 
215,1,@scribblepotemus Awwww shucks 
216,1,@BooksMadeByMe I agree 
217,1,is eating ice cream and watching Hannah Monatana with Emily Grace 
218,1,OMG... nothings better than coke with lots of ice 
219,1,@ddlovato ...over if I tried to say hi. 
220,1,abby is the best thing 2 b waken up by in the morning 
221,1,"@yvrabbit ....Hot pot (Chinese: ??; pinyin: hu? gu?), or less commonly Chinese fondue ...I found it at wikipedia!  Sounds yummy!"
222,1,@TheDebster have a good time.  i haven't had japanese food since i left glasgow.  have some cha han for me!  
223,1,@allanschoenberg Hope you have a wonderful time 
224,1,@Sassette That's awesome!!  I can't wait... who all is staying through Sun?
225,1,'Time Is An Illusion and All Time Is Now'... &quot;You ready to have some fun?  I thought so...&quot; Read Ariel's full article @ http://tr.im/jFd7
226,1,@maineline Hi Mimi it's Boo.  I'm following you now so you can post me if anything happens to Karie that I should know about....  
227,1,@jacksonliam Yeah mate im coming  in at about 11:45 
228,1,In the bath... 
229,1,It's teddy chucking time 
230,1,"@equivocality nah, they look better  but i label the tops with the latin names and only access them that way... no need to turn anything!"
231,1,Happy Mothers Day. Family dinner this evening 
232,1,nice comfort food for tea mash and sausage and lashings and lashings of red vino  oh and some revision thrown in (hopefully)
233,1,"Hey watch this Cranberries - Zombie Concert Video in Paris http://bit.ly/EFOHL great song, GREAT everything "
234,1,HM Movie.. So Excited To See It - Gonna Be Great!! 
235,1,"we're like three people in class atm, our teacher wont come for the next two hours .. hrhr, any suggestions what to destroy? "
236,1,@daynanotdana thanks sweetpea!! Same to u!! Is this your first mothers day as a mama? 
237,1,enjoying the nice weather 
238,1,@berryblue700 it was sooooo cool! 
239,1,"hey,  just had a presentation from a wonderful girl who is blind &lt;3 God bless her  Then had Drama.. AHH can my group learn to work?"
240,1,@Strabismus night 
241,1,"Only joking!  It's nearly finished. It's the paper accompanying the lecture I gave last week, so the 'real work' has already been done..."
242,1,"Damn, those ads weren't motivating people to try Chrome....maybe if we address the privacy issues...  You think?!  "
243,1,@binnyva lol  Oracle is acquiring everything...what next?
244,1,@kentgarrison omg omg where  x
245,1,@Butterflyshoes Thats wonderful to hear babe  xxx
246,1,@JOHN_AF Oh that's nice! Have some hot tea while you are at it. Haha! 
247,1,@anidifranco Happy Mother's Day 
248,1,@sharilong28 Hiiii  How are you ?
249,1,Tequila rose is really good. I love JD's family 
250,1,@Funnnnny Life is full of surprises.  Take good care &amp; have fun!!  
251,1,Welcoming cimmarongirl  I'm so proud!
252,1,@mileycyrus gOgH milEey yOou kEen dO iT!! wiCKck Up 
253,1,@betsymaebartlet sleep is damn good. get a ton of it! i'm very glad you had such a good time this weekend 
254,1,"@thegogetter Though I am an Iowan, I don't take offense...Cedar Rapids sucks. "
255,1,@dsilverman don't they have a bench outside the building where you can work on your laptop via wifi? 
256,1,gig and stuff it was a good move 
257,1,I actually need to leave my compound for food today. Literally finished the last item. Been too busy working to leave. 
258,1,"@Bizarrobama Is that a HeroScape card that I spy in the bottom right corner?!? Oh, I hope so. "
259,1,still recovering from King's Hawaiian. Had delicious fried rice with an egg over easy and spam. yes! i LOVE spam! 
260,1,"@GeordieJay Steak all the way, baby! "
261,1,just arrived in dubai 
262,1,DETROIT IS IN THE MOTHERFCKIN' BUILDING! 
263,1,@maeeyah or i might have said mas maarte ka. or whatever. my tagalog sucks 
264,1,@todayshow if i had my schetch pad and a book absolutely  all i need is soemthing to do and it's not a problem 
265,1,@tommcfly I really enjoy your tweets 
266,1,With my mom on Mother's day... ain't I sweet. 
267,1,but new stuff comes out in about a month hope you like it  http://ff.im/2xwGq
268,1,"just got back from driving around with my best friend. we hit jambajuice, then bustbuy, then taco bell  good day, good day."
269,1,@hoggy001 Looking forward to meeting you too! Although I might be a little delicate... 
270,1,"@gi_ri_ja good morning, It's nice to see you!   "
271,1,"As an Australian, just which team should I support in the LFL ... SD or LA, I need help to decide, both teams look good! "
272,1,@ericedelstein I don't think he's going to show the slides you're expecting  #netprophet
273,1,"@jtimberlake Next time you come skiing/boarding here in Utah, you should give me a tweet! There are some cool spots only the locals know "
274,1,@detoxdave http://is.gd/ClBU  Works a treat.
275,1,@pseudosophical YAY YOU! So proud of you!  and I'm not even being sarcastic. Even though you told me to shut the fuck up.
276,1,morning...getting ready/school/bus/DANCE/home/shower/eat food/sleep 
277,1,"Happy birthday, @nsingman! "
278,1,"@johncmayer I like your level of commitment, I thought you would have got over this experiment days ago "
279,1,I miss my childhood friend ruth!!!! I love her so muchhhh  I just called and her mom said shes out. I cant wait to get on the line w her!!
280,1,Back in England  Good to be home!
281,1,&quot;I felt disturbed when _____'_ titties were going up and down when he was running&quot; LMAO. Oh the siblings are back 
282,1,@montenegror thsk time 
283,1,Heading to the gym to pump it and heading over the pond to buy tires for my car. I like the elliptical trainer. 
284,1,OMG. Just had massive flashback to days gone by....a mention of .... Aikido!  How I miss those days 
285,1,"@ungerik can't read the study from here, but if they based the study on me - um, no "
286,1,http://twitpic.com/5dftj - Going through my pics outside 
287,1,"@juliancheal I didn't think I could cycle up The Hollow, or Lyncombe Hill, or Holloway. Turns out I was wrong "
288,1,WHO ATE MY BROWNIES? 
289,1,@SohamMondal  thanks 2 soham. Twitterin from my twitterfon app 4 iPhone . Thanks 4 the amazing links bro.  
290,1,All I know; is that I don't care anymore. And it feels awesome.  [Guilt-Free City.. comingsoon]; &lt;3
291,1,@featureBlend a maxi bmx hybrid - it's handmade  hope it will not rain today!!
292,1,@Lisa_Nova congrats on bein on perezhilton! 
293,1,went out with him 
294,1,"In St James's Park having a birthday picnic in the sunshine  Pink champagne, strawberries and chocolate mini rolls x"
295,1,"@sriiniivas oh yeah. that was totally true, except if i did that, i would end up in jail and suffer @nandiniv chocolate fantasy "
296,1,@billbeckett http://twitpic.com/4p2gn - Wow ! you really do got skills... i kinda suck 
297,1,"@amypaffrath have fun, wish him happy birthday for me "
298,1,when I woke Lo this am she said &quot;already? you've got to be kidding me&quot; 
299,1,Can't tweet fast enough! At home watching The Soup 
300,1,@ellaaLOVE lol! There's no price to see the Jbs  &lt;3
301,1,wildwindart @grader @seandeardorff @QueenRania @Zaraa_x @ReTwtr @GetMeFollowers MORE BIG THANK YOU'S!!! 
302,1,"Got home late tonight, ate late, so no running? Nah...I'll be on the treadmill in an hour...don't care if it is midnight. "
303,1,the ones that are being cocky about their work are the ones who make the most mistakes 
304,1,just chillin after work   its raining!  lol
305,1,Wow look at all the new followers I got this #followfriday!  Thank you all!  YOU ROCK!!!  
306,1,@Stupendoussteve Thanks for the retweet 
307,1,"@jeremyteocx lolz should be ok lahz. the ads can help them earn quite abit, but the header fonts, wah..pixels!! scary "
308,1,"@VirgilReality heh heh, no Arban's for me tonight, I really need to start up the old multiple-tonguing routine, thanks for the reminder "
309,1,@mrsvc_sp YOU ROCK 
310,1,@JustTx  I guess you right lol
311,1,Watching eagle eye. 
312,1,"@teh_r0x0rz ty, your efforts are appreciated "
313,1,@handandface @TomoWalter Guys I'm bloody bored. Tweet for christs sake before I lose my mind lol 
314,1,@karlaynzon Yessss i'll be buying tix already.. i thought u might wanna buy with me. Vicky H got me covered. 
315,1,@sweetpeatreats @cakespy I'll be posting the ham ones this week. Stay tuned.  Here are the bacon ones I did:  http://bit.ly/Ql73i
316,1,@richardblais @ChelseaFC beat Arsenal 2-1 in case you missed it 
317,1,sweet thing in my head 
318,1,@paisleypaisley LOL why do i get ideas so far in advance? it's not even june yet! we need a third knitter to have our own summer group 
319,1,Im so exshausted.Goin' to take a nice shower soon 
320,1,Is having a good time because of the rain 
321,1,"@annaraven Thanks Anna, I will...sure that a hot shower and plenty of 'Origins' will put me back on track! "
322,1,"@magickalrealism Do eeet! I'll add a recommended reading list later on tonight, too - since obviously I won't be sleeping "
323,1,"@LizJonasHQ Hey Liz, I found a new JONAS related vid: http://tinyurl.com/cx4rv3 Btw, LOVE the new layout "
324,1,@JKsGirlx2  don't even worry about it. I'm just teasing. I did get desperate though and went back and re-read BT. 
325,1,@AmandaSena Morning  Big plans for the day? Looks like it's going to be a good one for indoor activities... overcast and rainy!
326,1,"Request! Iggy Pop ~ The Passenger for @CattyG very neat lady! Check her out, &amp; enjoy Iggy!   ? http://blip.fm/~4laza"
327,1,"YES!!! Blessings, Luv Ya. @emma_zero ~@impollyanna I'm thinking it's going to be a great Monday! "
328,1,"gotcha! haha  i've got a lasagna in our refrigerator, haha  i'll just put it first at the microwave for about 90 secs. hehe "
329,1,Cover of Womanizer is going online today at 4pm on MySpace  get ready for the best cover song of your life! Lol xx
330,1,Had a nice pre mother's day dinner out. Now a cocktail before retiring for the evening 
331,1,"@mastersunshine You're welcome, of course! "
332,1,@M641 Good to hear you're busy!! Has spring finally arrived over there or are you doing egg hunt in snow? 
333,1,@forthejokes you can b serious it took u months mate im slow and i figured it out in seconds 
334,1,"@angusmaclean yeah I've been there, my son is two so we go to only the kid friendly places now;) congrats on the baby! "
335,1,http://tinyurl.com/dlolvh Website planning!  Read it 
336,1,Countdown to birthday: 2 days 
337,1,@jolinsdell Hmm? Sounds like you need to do a travel guide to navigating the mercato for us 
338,1,@lulazoid So vacation is good so far? 
339,1,"@AngelaKeen G'nite!  Shhh, don't wake the neighbors! "
340,1,I'm getting a little bit excited... I'm getting a new tattoo!! 
341,1,It's all about the John Barnes rap  ? http://blip.fm/~6iy3k
342,1,"@inlondonsing listening to school of seven bells, alpinisms. this is surprisingly good! different, but good. thanks for the suggestion! "
343,1,Shopping day.. headin to central chidlom and siam 
344,1,"Old enough to know better, young enough to not CARE! "
345,1,@RanaEr i might watch it with Elise on Friday night. then with my cousins and other friends on the weekend  advanced tickets? hmm...
346,1,Or maybe i can -_- Idk i still think twitter is weird but i like the name 
347,1,"Time to watch Kim,khloe and kourt on keeping up with the kardash! "
348,1,Good morning. Just looked out the window  http://twitpic.com/2yhsy
349,1,"@victormenegaux cool, I think I'll go there. My friends have left so I'll be on my own but it's all good "
350,1,"@ryancarson what happened with RBS I'm looking at leaving them atm, so would love to know "
351,1,"@switchGirl Oh, will do. I had to bring the soufflï¿½ home I'm SO full!  It's delicious! One of my Philly favs. "
352,1,@CBernos hahaaa oh my gosh that would be awesome  17 again was so good!
353,1,work exprience tomorrow I'm excited  http://tinyurl.com/qb4okb
354,1,I am officially loosing my mind! It's too early. I'll be leaving for Maddie's confirmation soon. 
355,1,"@ErenMckay  Wow, sounds like it was a really difficult one.  I do hope it gets easier soon. "
356,1,@leah_shay i really like your picture! you so purty! hope you had a good 1st day of class 
357,1,"@shanedawson go to sleep, silly. "
358,1,i'm in dï¿½sseldorf...again   i like this city ?
359,1,there r like hot chicks at kaliber then again all they playing r oldskool teeny bopper songs  i am waiting for an S Club 7 Song now lol
360,1,is spinning instead of sewing. O'well...at least it's something. 
361,1,@poyntey i quite liked the knitting ladies  quality entertainment
362,1,i tried Tweetie. couldn't find the equivalent to EventBox's profile peeks in like 10 seconds. uninstalled and I'm back on @eventbox. 
363,1,"oh, i got followers! awesome "
364,1,I discovered another relatively quiet area to sit in uni 
365,1,"@Jinxie_G M was conceived initially in 2000, solidified in 2001. So not quite that old, but you understand what I mean. "
366,1,Off to sleep at 2 am. bball practice at 12 noon tomorrow and dinner with the best friends in the world 
367,1,This mornin is so crazy. Taken shit loads of gorgeous pics  and my shirt is very colourful x
368,1,LOVE my new Jack Wills bikini and miniskirt!  Spoiled!! xoxo
369,1,@radiosite I could figure that one out. 
370,1,@mc_frontalot Hooray for nerd bliss! I'll be at Maker Faire all weekend. 
371,1,@mayskywalker thank you. de verdade 
372,1,"@amber_benson Thx for signing my book, my 1st chick lit! "
373,1,woke up at 1 pm .  gox . this is the life of a bummer . 
374,1,@JaoGirl heyyah.. what'cha doin'?  xoxo
375,1,"@LeeStanfield @michaeljritchie I just watched a video of it, and I can so imagine the three of us in a line doing it. It would be gold "
376,1,"@UdiDahan close call, NSB just made it to the the list  http://is.gd/zJQe"
377,1,I love cute texy messages. Especially when he calls me mandy 
378,1,A movie's worst fate used to be &quot;Straight to DVD&quot;. Now it is &quot;Straight to DivX&quot; or &quot;Straight to Internet&quot; 
379,1,#GuiltyPleasures Scratching the ring &amp; having a sneaky sniff  Ooo smells like sausages lol -
380,1,"@Hakken hehe. only time will tell, i suppose. "
381,1,@Elliecopter_ rofl im glad! haha yeah me tew! but usually i get up at the same time and just spend more time on twitter! tehehe! 
382,1,"@ROCKBABY Jem. The singer?  @_YANYAN How bout denver, the last dinosaur and TMNT? "
383,1,@carmenlhy i want alsoooooooo 
384,1,@rahulgoyal1986 I do have one coloured one on my leg.  Its a butterfly filled with colour!  x
385,1,Yoga sesh!! wishing everyone a wonderful morning!! @intelligensia got me shades on to brill 
386,1,@lelandstrott haha So you're eventually going ? Congratulations !!! I guess I'll see you there 
387,1,"my friends (mainly sam and kaylah) and i make soo many jokes about horses/pharlap/trace, it's not funny. hHahisklfas "
388,1,@RootsDaughter Damned online translator tools....   ? http://blip.fm/~697s5
389,1,Its 11:11 make a wish 
390,1,Shot a chrome shotgun and a 9mm today- I shot a small target over 20 yds away with the 9 mm 
